,uid,type,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to,score
46,u00,post,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,13
47,u01,post,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Never,Rarely,Often,Often,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Often,15
48,u02,post,Often,Rarely,Rarely,Often,Often,Often,Never,Never,Rarely,Often,Rarely,Never,Never,Never,Often,Often,Never,Never,Often,Often,25
49,u03,post,Rarely,Never,Never,Sometimes,Never,Rarely,Often,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,1
50,u04,post,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,0
51,u07,post,Rarely,Sometimes,Never,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,10
52,u09,post,Often,Sometimes,Rarely,Rarely,Often,Often,Never,Rarely,Rarely,Often,Rarely,Rarely,Never,Rarely,Often,Rarely,Rarely,Sometimes,Often,Often,14
53,u10,post,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Often,Often,Never,Never,Never,Often,Often,Often,Sometimes,Never,Never,Often,Rarely,Rarely,-13
54,u14,post,Often,Rarely,Never,Often,Often,Often,Never,Never,Often,Often,Rarely,Rarely,Never,Never,Sometimes,Often,Never,Never,Sometimes,Often,25
55,u15,post,Often,Rarely,Never,Often,Often,Often,Never,Never,Sometimes,Often,Rarely,Never,Never,Never,Often,Often,Never,Never,Often,Often,27
56,u16,post,Sometimes,Sometimes,Rarely,Often,Often,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,12
57,u17,post,Sometimes,Often,Rarely,Often,Never,Rarely,Never,Often,Sometimes,Often,Often,Sometimes,Often,Often,Rarely,Often,Sometimes,Often,Often,Often,-2
58,u18,post,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Never,-15
59,u19,post,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,-4
60,u20,post,Often,Rarely,Rarely,Often,Often,Often,Rarely,Often,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,12
61,u23,post,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,-1
62,u24,post,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,-5
63,u27,post,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,1
64,u30,post,Often,Rarely,Rarely,Often,Often,Often,Never,Never,Often,Often,Rarely,Never,Never,Never,Often,Often,Never,Never,Often,Often,27
65,u31,post,Sometimes,Never,Rarely,Often,Often,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,10
66,u32,post,Often,Often,Never,Often,Often,Often,Never,Rarely,Often,Often,Rarely,Rarely,Never,Never,Often,Often,Rarely,Rarely,Often,Often,22
67,u33,post,Often,Often,Often,Sometimes,Sometimes,Rarely,Often,Often,Often,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Often,Sometimes,Sometimes,-10
68,u34,post,Often,Rarely,Rarely,Often,Often,Often,Never,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Often,16
69,u35,post,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Never,Rarely,Often,Sometimes,11
70,u36,post,Often,Never,Never,Sometimes,Often,Often,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Often,18
71,u42,post,Often,Sometimes,Never,Often,Often,Often,Never,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Often,Often,18
72,u43,post,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,10
73,u44,post,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,7
74,u45,post,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,6
75,u47,post,Often,Often,Never,Often,Often,Often,Never,Never,Often,Often,Never,Never,Never,Never,Often,Often,Never,Never,Often,Often,27
76,u49,post,Sometimes,Rarely,Never,Often,Often,Often,Never,Never,Sometimes,Often,Never,Never,Never,Never,Often,Often,Rarely,Sometimes,Often,Often,24
77,u51,post,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Never,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,15
78,u52,post,Often,Sometimes,Never,Often,Rarely,Often,Never,Never,Sometimes,Often,Sometimes,Never,Never,Never,Often,Sometimes,Never,Never,Often,Sometimes,21
79,u53,post,Often,Rarely,Never,Often,Often,Sometimes,Never,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Often,Often,18
80,u56,post,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Never,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,13
81,u58,post,Often,Never,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Never,Rarely,Often,Rarely,Sometimes,Often,Never,Rarely,Sometimes,Sometimes,7
82,u59,post,Often,Never,Never,Sometimes,Often,Often,Never,Rarely,Often,Often,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,21
