,uid,type,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to,score
0,u00,pre,Sometimes,Rarely,Never,Never,Often,Sometimes,Never,Never,Often,Often,Rarely,Rarely,Never,Never,Often,Rarely,Often,Sometimes,Often,Often,15
1,u01,pre,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Never,Never,Sometimes,Often,Rarely,Rarely,Never,Rarely,Often,Often,Sometimes,Never,Often,Often,20
2,u02,pre,Sometimes,Rarely,Rarely,Often,Often,Often,Never,Often,Rarely,Often,Rarely,Never,Never,Never,Often,Often,Never,Never,Often,Often,21
3,u03,pre,Sometimes,Rarely,Never,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,3
4,u04,pre,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,-3
5,u05,pre,Sometimes,Rarely,Never,Often,Often,Sometimes,Never,Never,Sometimes,Often,Rarely,Rarely,Never,Rarely,Often,Sometimes,Never,Never,Often,Often,22
6,u07,pre,Rarely,Never,Never,Often,Sometimes,Rarely,Never,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Never,Sometimes,Often,Often,11
7,u08,pre,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Never,Sometimes,Often,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,17
8,u09,pre,Sometimes,Sometimes,Rarely,Often,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Never,Often,Often,13
9,u10,pre,Rarely,Often,Often,Rarely,Never,Rarely,Often,Often,Never,Rarely,Sometimes,Often,Often,Often,Often,Never,Never,Rarely,Rarely,Rarely,-15
10,u12,pre,Often,Rarely,Rarely,Sometimes,Often,Never,Rarely,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,7
11,u13,pre,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Often,Often,Never,Often,Often,Often,6
12,u14,pre,Sometimes,Never,Never,Often,Often,Sometimes,Never,Never,Sometimes,Often,Rarely,Never,Never,Never,Rarely,Often,Never,Never,Often,Often,24
13,u15,pre,Sometimes,Never,Never,Often,Often,Often,Never,Never,Sometimes,Often,Sometimes,Rarely,Never,Never,Often,Often,Never,Never,Often,Often,25
14,u16,pre,Sometimes,Never,Never,Often,Often,Often,Rarely,Rarely,Rarely,Often,Sometimes,Never,Rarely,Sometimes,Often,Often,Sometimes,Never,Often,Often,18
15,u17,pre,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,-2
16,u18,pre,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,-6
17,u19,pre,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,-6
18,u20,pre,Often,Rarely,Rarely,Often,Often,Often,Rarely,Rarely,Often,Often,Rarely,Rarely,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,20
19,u22,pre,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,-4
20,u23,pre,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,4
21,u24,pre,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,-1
22,u27,pre,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,4
23,u30,pre,Often,Never,Never,Often,Often,Often,Never,Rarely,Often,Often,Rarely,Never,Never,Rarely,Often,Often,Never,Never,Often,Often,27
24,u31,pre,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Never,Rarely,Often,Often,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,9
25,u32,pre,Often,Sometimes,Never,Often,Often,Often,Never,Never,Often,Often,Rarely,Rarely,Never,Rarely,Often,Often,Never,Never,Often,Often,25
26,u33,pre,Sometimes,Often,Sometimes,Never,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Often,Never,Sometimes,Often,Often,Sometimes,Rarely,-15
27,u34,pre,Often,Rarely,Never,Often,Often,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Never,Sometimes,Often,Often,15
28,u35,pre,Often,Rarely,Never,Sometimes,Often,Often,Rarely,Rarely,Rarely,Often,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,14
29,u36,pre,Often,Never,Never,Often,Often,Often,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Often,Sometimes,19
30,u39,pre,Sometimes,Rarely,Rarely,Often,Often,Often,Rarely,Rarely,Sometimes,Often,Never,Sometimes,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,18
31,u42,pre,Often,Never,Never,Often,Often,Often,Never,Never,Sometimes,Often,Never,Sometimes,Rarely,Never,Often,Sometimes,Never,Never,Often,Often,25
32,u43,pre,Sometimes,Sometimes,Never,Rarely,Often,Often,Never,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Often,9
33,u44,pre,Often,Sometimes,Never,Often,Often,Often,Never,Never,Often,Often,Never,Rarely,Never,Never,Often,Sometimes,Never,Never,Often,Often,26
34,u45,pre,Often,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,4
35,u46,pre,Often,Rarely,Never,Often,Often,Often,Never,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Often,Often,Never,Rarely,Often,Often,21
36,u47,pre,Sometimes,Rarely,Never,Often,Often,Often,Never,Never,Often,Often,Never,Never,Never,Never,Often,Often,Never,Never,Often,Often,28
37,u49,pre,Often,Rarely,Never,Sometimes,Often,Often,Never,Never,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Often,Often,19
38,u50,pre,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,10
39,u51,pre,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,10
40,u52,pre,Sometimes,Often,Often,Never,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Sometimes,Often,Often,Sometimes,Never,Rarely,Often,Often,Sometimes,Rarely,-13
