,uid,type,"1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and ""stressed""?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",score
0,u00,pre,Sometime,Sometime,Fairly often,Fairly often,Sometime,Very often,Sometime,Sometime,Fairly often,Fairly often,-10
1,u01,pre,Sometime,Sometime,Sometime,Sometime,Fairly often,Sometime,Fairly often,Fairly often,Almost never,Almost never,-1
2,u02,pre,Fairly often,Sometime,Sometime,Fairly often,Almost never,Sometime,Almost never,Sometime,Sometime,Almost never,-7
3,u03,pre,Sometime,Almost never,Sometime,Almost never,Sometime,Never,Almost never,Never,Never,Never,-3
4,u04,pre,Almost never,Almost never,Fairly often,Sometime,Sometime,Fairly often,Sometime,Almost never,Sometime,Sometime,-7
5,u05,pre,Almost never,Sometime,Almost never,Very often,Very often,Almost never,Fairly often,Very often,Almost never,Never,7
6,u07,pre,Sometime,Almost never,Fairly often,Very often,Very often,Almost never,Fairly often,Fairly often,Sometime,Almost never,2
7,u08,pre,Sometime,Fairly often,Very often,Sometime,Sometime,Sometime,Fairly often,Sometime,Sometime,Fairly often,-9
8,u09,pre,Almost never,Almost never,Sometime,Sometime,Fairly often,Almost never,Fairly often,Sometime,Almost never,Almost never,1
9,u10,pre,Fairly often,Fairly often,Fairly often,Fairly often,Fairly often,Sometime,Almost never,Very often,Fairly often,Almost never,-6
10,u12,pre,Almost never,Almost never,Sometime,Fairly often,Fairly often,Almost never,Fairly often,Fairly often,Almost never,Almost never,3
11,u13,pre,Almost never,Fairly often,Very often,Almost never,Almost never,Almost never,Almost never,Never,Sometime,Almost never,-11
12,u14,pre,Almost never,Never,Sometime,Fairly often,Sometime,Almost never,Very often,Very often,Almost never,Almost never,5
13,u15,pre,Fairly often,Sometime,Fairly often,Sometime,Sometime,Sometime,Sometime,Sometime,Sometime,Sometime,-8
14,u16,pre,Fairly often,Very often,Very often,Fairly often,Sometime,Sometime,Sometime,Fairly often,Sometime,Fairly often,-10
15,u17,pre,Fairly often,Very often,Very often,Sometime,Almost never,Very often,Sometime,Never,Fairly often,Very often,-19
16,u18,pre,Fairly often,Fairly often,Fairly often,Fairly often,Almost never,Fairly often,Almost never,Sometime,Fairly often,Fairly often,-13
17,u19,pre,Almost never,Sometime,Sometime,Almost never,Sometime,Almost never,Almost never,Sometime,Sometime,Sometime,-6
18,u20,pre,Almost never,Almost never,Sometime,Fairly often,Sometime,Sometime,Very often,Sometime,Almost never,Sometime,0
19,u22,pre,Almost never,Never,Almost never,Very often,Sometime,Never,Fairly often,Very often,Almost never,Never,8
20,u23,pre,Fairly often,Fairly often,Very often,Sometime,Sometime,Fairly often,Sometime,Sometime,Fairly often,Fairly often,-13
21,u24,pre,Sometime,Almost never,Fairly often,Fairly often,Fairly often,Sometime,Sometime,Almost never,Sometime,Almost never,-4
22,u27,pre,Sometime,Sometime,Fairly often,Fairly often,Sometime,Sometime,Sometime,Sometime,Almost never,Almost never,-4
23,u30,pre,Sometime,Sometime,Sometime,Very often,Fairly often,Almost never,Very often,Very often,Almost never,Never,5
25,u32,pre,Never,Never,Sometime,Very often,Fairly often,Never,Very often,Very often,Never,Never,11
26,u33,pre,Fairly often,Very often,Very often,Almost never,Almost never,Very often,Almost never,Never,Sometime,Fairly often,-19
27,u34,pre,Almost never,Almost never,Sometime,Fairly often,Fairly often,Sometime,Fairly often,Sometime,Sometime,Almost never,0
28,u35,pre,Sometime,Sometime,Almost never,Fairly often,Fairly often,Sometime,Very often,Sometime,Almost never,Sometime,0
29,u36,pre,Almost never,Almost never,Sometime,Fairly often,Fairly often,Almost never,Fairly often,Sometime,Almost never,Almost never,2
30,u42,pre,Sometime,Fairly often,Very often,Almost never,Almost never,Sometime,Sometime,Sometime,Almost never,Sometime,-10
31,u43,pre,Sometime,Fairly often,Fairly often,Fairly often,Sometime,Sometime,Fairly often,Sometime,Fairly often,Sometime,-7
32,u44,pre,Almost never,Sometime,Sometime,Sometime,Sometime,Almost never,Sometime,Almost never,Sometime,Almost never,-4
34,u46,pre,Very often,Fairly often,Sometime,Almost never,Sometime,Very often,Never,Sometime,Very often,Fairly often,-17
35,u47,pre,Sometime,Almost never,Fairly often,Fairly often,Fairly often,Almost never,Sometime,Fairly often,Almost never,Almost never,0
36,u49,pre,Sometime,Sometime,Sometime,Fairly often,Fairly often,Sometime,Very often,Sometime,Sometime,Sometime,-2
37,u50,pre,Almost never,Almost never,Almost never,Never,Sometime,Almost never,Sometime,Sometime,Fairly often,Sometime,-5
38,u51,pre,Almost never,Almost never,Sometime,Sometime,Sometime,Almost never,Fairly often,Sometime,Almost never,Almost never,0
39,u52,pre,Sometime,Very often,Very often,Almost never,Fairly often,Sometime,Very often,Sometime,Almost never,Fairly often,-8
40,u53,pre,Fairly often,Fairly often,Very often,Sometime,Sometime,Sometime,Fairly often,Sometime,Sometime,Sometime,-9
41,u54,pre,Sometime,Sometime,Fairly often,Fairly often,Sometime,Sometime,Sometime,Sometime,Almost never,Sometime,-5
42,u56,pre,Almost never,Almost never,Almost never,Fairly often,Fairly often,Sometime,Fairly often,Fairly often,Almost never,Almost never,3
43,u57,pre,Almost never,Sometime,Sometime,Very often,Fairly often,Never,Fairly often,Fairly often,Almost never,Never,5
44,u58,pre,Sometime,Fairly often,Very often,Fairly often,Almost never,Almost never,Very often,Almost never,Sometime,Almost never,-6
45,u59,pre,Sometime,Fairly often,Sometime,Sometime,Sometime,Fairly often,Very often,Fairly often,Sometime,Almost never,-4
46,u00,post,Almost never,Sometime,Sometime,Fairly often,Sometime,Sometime,Fairly often,Sometime,Almost never,Almost never,-1
47,u01,post,Almost never,Sometime,Sometime,Fairly often,Fairly often,Sometime,Sometime,Fairly often,Sometime,Sometime,-2
48,u02,post,Sometime,Sometime,Very often,Fairly often,Sometime,Very often,Sometime,Sometime,Fairly often,Fairly often,-11
49,u03,post,Almost never,Sometime,Very often,Sometime,Almost never,Fairly often,Almost never,Almost never,Almost never,Sometime,-10
50,u04,post,Sometime,Almost never,Very often,Fairly often,Sometime,Almost never,Fairly often,Sometime,Almost never,Sometime,-3
51,u05,post,Sometime,Almost never,Almost never,Fairly often,Fairly often,Never,Very often,Fairly often,Never,Never,7
52,u07,post,Sometime,Fairly often,Very often,Fairly often,Almost never,Fairly often,Almost never,Almost never,Fairly often,Fairly often,-14
53,u09,post,Almost never,Sometime,Very often,Fairly often,Fairly often,Sometime,Fairly often,Sometime,Almost never,Sometime,-3
54,u10,post,Sometime,Almost never,Fairly often,Very often,Fairly often,Sometime,Sometime,Very often,Sometime,Sometime,-1
55,u14,post,Sometime,Almost never,Fairly often,Sometime,Fairly often,Almost never,Very often,Very often,Sometime,Sometime,0
56,u15,post,Almost never,Almost never,Sometime,Fairly often,Fairly often,Never,Fairly often,Sometime,Sometime,Never,3
57,u16,post,Very often,Very often,Very often,Sometime,Sometime,Sometime,Fairly often,Fairly often,Sometime,Very often,-12
58,u17,post,Fairly often,Very often,Very often,Sometime,Almost never,Very often,Almost never,Never,Very often,Fairly often,-20
59,u18,post,Fairly often,Fairly often,Very often,Sometime,Sometime,Sometime,Fairly often,Sometime,Sometime,Fairly often,-10
60,u19,post,Fairly often,Fairly often,Very often,Fairly often,Fairly often,Sometime,Sometime,Fairly often,Sometime,Sometime,-7
61,u20,post,Sometime,Sometime,Fairly often,Sometime,Fairly often,Sometime,Very often,Sometime,Sometime,Sometime,-4
62,u23,post,Fairly often,Sometime,Fairly often,Fairly often,Sometime,Sometime,Sometime,Sometime,Fairly often,Sometime,-8
63,u24,post,Almost never,Almost never,Sometime,Sometime,Fairly often,Almost never,Fairly often,Sometime,Sometime,Almost never,0
64,u27,post,Sometime,Sometime,Very often,Sometime,Sometime,Fairly often,Sometime,Sometime,Sometime,Sometime,-9
65,u30,post,Almost never,Almost never,Sometime,Fairly often,Fairly often,Sometime,Fairly often,Fairly often,Almost never,Almost never,2
66,u31,post,Fairly often,Sometime,Almost never,Almost never,Almost never,Sometime,Sometime,Never,Almost never,Never,-7
67,u32,post,Almost never,Fairly often,Sometime,Very often,Fairly often,Almost never,Very often,Very often,Never,Never,6
68,u33,post,Fairly often,Very often,Very often,Almost never,Almost never,Very often,Almost never,Almost never,Sometime,Very often,-19
69,u34,post,Almost never,Almost never,Sometime,Fairly often,Fairly often,Sometime,Fairly often,Sometime,Almost never,Sometime,0
70,u35,post,Almost never,Sometime,Sometime,Sometime,Sometime,Almost never,Fairly often,Sometime,Almost never,Sometime,-2
71,u36,post,Sometime,Almost never,Sometime,Fairly often,Sometime,Sometime,Almost never,Almost never,Almost never,Almost never,-4
72,u42,post,Almost never,Sometime,Almost never,Sometime,Sometime,Almost never,Sometime,Sometime,Almost never,Almost never,-1
73,u43,post,Almost never,Sometime,Almost never,Sometime,Fairly often,Almost never,Fairly often,Fairly often,Sometime,Almost never,1
74,u44,post,Sometime,Sometime,Sometime,Sometime,Sometime,Sometime,Sometime,Almost never,Sometime,Almost never,-6
75,u45,post,Almost never,Sometime,Almost never,Almost never,Sometime,Sometime,Almost never,Sometime,Sometime,Sometime,-6
76,u46,post,Fairly often,Sometime,Very often,Sometime,Almost never,Very often,Sometime,Sometime,Very often,Very often,-16
77,u47,post,Sometime,Sometime,Fairly often,Almost never,Almost never,Fairly often,Almost never,Almost never,Very often,Sometime,-14
78,u49,post,Almost never,Almost never,Sometime,Fairly often,Very often,Never,Fairly often,Very often,Almost never,Almost never,6
79,u51,post,Almost never,Almost never,Fairly often,Fairly often,Fairly often,Almost never,Fairly often,Fairly often,Almost never,Almost never,2
80,u52,post,Sometime,Very often,Very often,Almost never,Fairly often,Fairly often,Almost never,Almost never,Sometime,Very often,-15
81,u53,post,Sometime,Sometime,Fairly often,Sometime,Sometime,Sometime,Fairly often,Sometime,Sometime,Sometime,-6
82,u54,post,Very often,Very often,Fairly often,Sometime,Sometime,Sometime,Fairly often,Never,Sometime,Sometime,-12
83,u56,post,Almost never,Sometime,Almost never,Fairly often,Very often,Almost never,Fairly often,Fairly often,Never,Almost never,5
84,u59,post,Sometime,Sometime,Sometime,Fairly often,Fairly often,Sometime,Fairly often,Fairly often,Almost never,Never,1
