,uid,average_activity,day_average_activity,night_average_activity,night_walk_activity_second,night_run_activity_count,night_run_activity_second,night_peace_activity_second,day_walk_activity_count,day_walk_activity_second,day_run_activity_second,day_peace_activity_second
0,u00,0.1097673263975085,0.1383845761277133,0.0289531140778584,29045,29,16871,541604,2801,369696,73931,4128102
1,u01,0.0863172922237729,0.0974752046654991,0.0518254411046795,40229,128,10723,772571,2562,179200,90044,3901375
2,u02,0.0598311639221919,0.0640382769255908,0.0465651743376297,68687,41,1049,971110,1166,276276,4672,4281182
3,u03,0.013342311154699,0.0175179071940205,0.0006788465511643,728,0,0,180483,260,53684,4078,2151485
4,u04,0.144272227261151,0.1501422617676361,0.1269678876021978,89404,303,34981,674812,2671,262915,133953,3627244
5,u05,0.0412989640378108,0.045334960045332,0.0289242279190157,39120,64,2601,557719,855,156916,13007,4132646
6,u07,0.0659114695236563,0.0677605591005773,0.0602193312547037,36461,136,12388,653229,1424,122934,39391,2856403
7,u08,0.079257187783008,0.078212364522882,0.082410332280379,77975,205,18310,1083112,1827,201309,62822,4002495
8,u09,0.0702719454559541,0.0780684227638661,0.046436945662147,50226,71,4661,783535,2235,237951,31921,4226266
9,u10,0.047563880138185,0.058036409694611,0.0169758266019258,15247,46,4982,417707,1233,176433,39722,4992616
10,u12,0.0515983209557636,0.0615306970044265,0.0226609586680655,21682,67,6679,761146,1855,151281,52024,4575049
11,u13,0.0428434360140098,0.0413060619292497,0.0473772952140964,33593,73,10723,978813,1032,91695,23610,3284789
12,u14,0.0993834611139956,0.0715820376080921,0.1871828182098563,185958,214,13469,645838,1470,213142,17546,3843678
13,u15,0.0403248236394744,0.0463381257479201,0.0235605855028971,16725,9,731,598885,309,84370,8331,2563289
14,u16,0.051666246262886,0.0576607554038552,0.0348514290659345,39900,36,3650,639841,1159,174404,22572,4379198
15,u17,0.0363112391930835,0.0441652448167106,0.0129790338683664,17452,14,1204,541919,793,151511,15809,3859869
16,u18,0.032955847672985,0.0387591933353466,0.0155615696887686,20720,6,458,457271,648,122718,13473,3209180
17,u19,0.0375348621010226,0.0404752243344445,0.0285160619475997,38974,12,752,1173730,663,171984,2782,4092245
18,u20,0.0259739520642861,0.0247226420311428,0.0297529169526424,26354,19,921,589585,306,63920,3094,2349065
19,u22,0.0617965108567412,0.0619319289726445,0.0614112784174785,46417,168,14518,1009851,1108,114371,49374,3611180
20,u23,0.0229622933382812,0.0303034677491533,0.0012549515093566,1402,0,0,479917,788,94845,10016,3700881
21,u24,0.0656713999230255,0.0610535405872193,0.0795711152627731,48325,52,3486,376172,811,72715,28051,1968696
22,u25,0.0883306500614269,0.0864963856586804,0.0933870940868724,49725,97,10150,784409,1177,117225,27286,2203023
23,u27,0.0322022361111388,0.0352684403292291,0.0231382768696201,31753,23,1389,1266770,984,115389,13504,3908307
24,u30,0.0737706826025956,0.0723563569682151,0.0779641391809234,98195,107,9314,819777,1226,248109,30056,4029499
25,u31,0.0516119318086761,0.0510932913898914,0.0531236440740407,62893,123,8334,948853,1560,189192,23273,4124958
26,u32,0.0834013876512612,0.0756429389008823,0.1073821295500143,128213,184,8751,783788,2032,232888,38337,3934308
27,u33,0.0532812639192185,0.0517543294920491,0.0578126343341325,61304,57,3477,921608,1165,137682,16475,3427939
28,u34,0.0493952869789285,0.0539870890114109,0.0356171541905678,25026,57,3500,567269,899,93530,17012,2525425
29,u35,0.0421787216602819,0.0432718812432036,0.0388943341463229,34778,92,11902,519233,1040,96279,43935,3104833
30,u36,0.0798129696323414,0.0797596911066746,0.0799750078100593,51853,247,24168,1128666,1982,147782,78558,4044679
31,u39,0.0035619260149343,0.0044407733324609,0.0009305059013663,673,1,0,25970,33,6015,427,574084
32,u41,0.0349068870968206,0.0357146927100545,0.0323626531393568,20792,54,4794,702486,496,85867,10461,2413092
33,u42,0.0292407665614512,0.0339897993373292,0.0137029683674587,13102,15,976,436964,457,79321,9289,2732207
34,u43,0.0700371045554286,0.0851069019345487,0.0271444297884579,26609,45,2314,576554,1390,200372,35803,3632930
35,u44,0.0194341038695013,0.0233912764298491,0.0078175621660285,7679,14,1812,369174,456,75608,8095,4091898
36,u45,0.0276415762276632,0.0301480736728685,0.0207568273827788,23032,23,1254,709506,561,74990,7390,2371647
37,u46,0.1487473578765235,0.1106128833483433,0.2684407327693086,223955,427,38428,715517,2132,185177,84667,3174420
38,u47,0.0379779482880907,0.0416140355774531,0.0276747842078723,21876,36,3149,792233,744,86104,11936,2576540
39,u49,0.0571767516716165,0.058733712673365,0.0526693335228998,48156,370,3078,977969,4031,157708,17536,4163583
40,u50,0.016875517942794,0.0196107292325959,0.0094354731082343,6822,0,0,299299,162,43573,545,2087447
41,u51,0.0877993635111385,0.0897544432454834,0.0818760910176706,86644,137,16575,1007230,1805,212989,79921,4022959
42,u52,0.2628300377185964,0.2665911373776542,0.2513780717664213,74055,31,18293,748619,652,197440,152268,3833008
43,u53,0.024179285126767,0.0257308559224022,0.0193389808190317,26682,16,1082,674010,516,94921,4704,3620229
44,u54,0.073803864128647,0.0786077616693984,0.0606359636393187,54418,105,5730,693524,1631,175291,25783,2809811
45,u56,0.057870716415023,0.0606725318152948,0.049569641425933,42806,75,5829,784742,1691,135120,33282,3680926
46,u57,0.11962871056669,0.1224331416745783,0.1107985557141657,95348,263,22094,943812,2938,238999,125276,4052795
47,u58,0.045291776386094,0.0450535440414228,0.0459990877007658,51412,63,6747,666602,1037,146278,22188,4095211
48,u59,0.112626490054053,0.1143573653034545,0.1077269696379833,113389,593,15800,1047109,9528,282376,77544,3756795
