,uid,average_activity,day_average_activity,night_average_activity,night_walk_activity_second,night_run_activity_count,night_run_activity_second,night_peace_activity_second,day_walk_activity_count,day_walk_activity_second,day_run_activity_second,day_peace_activity_second,average_audio,day_average_audio,night_average_audio,night_talk_audio_second,night_talk_audio_count,night_noise_audio_count,night_noise_audio_second,night_silent_audio_second,night_silent_audio_count,day_talk_audio_second,day_talk_audio_count,day_noise_audio_count,day_noise_audio_second,day_silent_audio_second,day_silent_audio_count,night_start_phonecharge_count_sum,night_start_phonecharge_span_sum,night_end_phonecharge_count_sum,night_end_phonecharge_span_sum,day_start_phonecharge_count_sum,day_start_phonecharge_span_sum,day_end_phonecharge_count_sum,day_end_phonecharge_span_sum,night_charge_sum,night_charge_percent,average_night_charge_span_second,night_start_phonelock_count_sum,night_start_phonelock_span_sum,night_end_phonelock_count_sum,night_end_phonelock_span_sum,day_start_phonelock_count_sum,day_start_phonelock_span_sum,day_end_phonelock_count_sum,day_end_phonelock_span_sum,night_lock_sum,night_lock_percent,average_night_lock_span_second
0,u00,0.1097673263975085,0.1383845761277133,0.0289531140778584,29045,29,16871,541604,2801,369696,73931,4128102,0.8344407148219417,0.889986238672174,0.6721253722893642,177667,42580,57966,154394,750135,35432,609079,152544,201516,579545,1950983,110447,42,747188,21,255090,33,365713,46,715191,466056,0.4187757940733272,7170.092307692307,65,967639,55,496708,161,1169825,168,1604166,705269,0.3299559665098453,10850.292307692309
1,u01,0.0863172922237729,0.0974752046654991,0.0518254411046795,40229,128,10723,772571,2562,179200,90044,3901375,0.8072553308782656,0.7478870794501524,0.9110010069475164,181746,94533,120134,300249,385728,67782,428938,134036,160582,352323,1759524,102739,14,404393,1,17041,30,591986,24,559283,90934,0.0912644686409488,1466.6774193548388,73,993101,78,981226,143,2091456,138,2103331,1248692,0.404820530144199,19820.507936507936
2,u02,0.0598311639221919,0.0640382769255908,0.0465651743376297,68687,41,1049,971110,1166,276276,4672,4281182,0.6543004114721277,0.606173440810462,0.7528813753781767,147269,57590,79683,202709,739822,41865,272891,96037,125891,325273,3217776,66933,68,1164777,37,289796,37,391092,66,1232007,445610,0.2864058606476509,6855.538461538462,55,881141,36,222206,101,731916,120,1390851,358153,0.2220336913078707,5510.046153846154
3,u03,0.013342311154699,0.0175179071940205,0.0006788465511643,728,0,0,180483,260,53684,4078,2151485,0.2004384285524688,0.2383659266767329,0.0979209209972574,4451,4735,9372,16787,1134926,10232,71088,19911,37467,96112,2901300,33430,22,549798,14,222073,25,395477,25,592474,351876,0.3722472296421676,7330.75,38,736766,33,444264,64,777938,68,1060619,520743,0.3437919223821948,9468.054545454546
4,u04,0.144272227261151,0.1501422617676361,0.1269678876021978,89404,303,34981,674812,2671,262915,133953,3627244,0.9561295070563282,0.981224801639539,0.8947938775910749,267246,62109,76063,156722,580659,43959,797913,161510,184098,359090,1764943,97211,54,1363928,3,19525,6,55083,18,437239,353104,0.2488380992113521,6305.428571428572,91,1665209,75,932267,150,1828460,166,2561402,1288502,0.3688105541767122,23008.964285714286
5,u05,0.0412989640378108,0.045334960045332,0.0289242279190157,39120,64,2601,557719,855,156916,13007,4132646,0.6558018185720806,0.6457294172087793,0.6789482307190573,127264,50363,61052,140403,796555,43221,341188,106111,132428,281012,2126278,100715,42,834078,23,173136,30,261908,47,876141,302114,0.2756549809942827,4872.806451612903,60,1134913,61,755500,120,1269445,119,1648858,947800,0.3942008635985157,15044.444444444443
6,u07,0.0659114695236563,0.0677605591005773,0.0602193312547037,36461,136,12388,653229,1424,122934,39391,2856403,0.6485833163101183,0.6413620043814572,0.66500188321022,133003,33602,49674,91630,651826,35265,302370,69614,91284,189302,1871420,55332,24,501108,14,148212,24,392838,19,373632,264267,0.2956185272935949,5505.5625,49,838020,49,657457,104,1529819,101,1636702,843100,0.3560630600306862,17938.297872340427
7,u08,0.079257187783008,0.078212364522882,0.082410332280379,77975,205,18310,1083112,1827,201309,62822,4002495,0.7074957610317317,0.6129645914903296,0.8714038961614142,202084,91610,119330,259420,725947,73122,313983,106275,148798,346420,2613108,103716,42,447813,30,213263,65,858738,68,941216,290627,0.2224383127792179,4613.126984126984,84,625348,63,365729,192,1731754,213,1991373,499573,0.211943734297455,8057.629032258064
8,u09,0.0702719454559541,0.0780684227638661,0.046436945662147,50226,71,4661,783535,2235,237951,31921,4226266,0.718957420592982,0.6914444328540293,0.7737453470172589,111912,69212,105041,302450,585363,67529,404301,117686,177307,459979,2590113,124949,48,1078130,22,212761,23,206558,35,693629,404340,0.3147378974505872,6317.8125,89,1638074,86,957355,130,1603946,132,2262197,1227106,0.3785004410830285,19173.53125
9,u10,0.047563880138185,0.058036409694611,0.0169758266019258,15247,46,4982,417707,1233,176433,39722,4992616,0.6298976758808648,0.6614128985785183,0.5461305707985025,106801,41439,52179,117186,1063691,34461,416140,127734,170174,347819,2482690,133402,10,98722,20,247118,75,715012,57,465564,343434,0.4220470079903261,5283.6,89,1400818,88,753672,212,1592030,212,2216508,987533,0.3299643015615895,15192.815384615384
10,u12,0.0515983209557636,0.0615306970044265,0.0226609586680655,21682,67,6679,761146,1855,151281,52024,4575049,0.6122462719636488,0.6325554524705307,0.5608205879131332,71310,37277,54906,163135,985447,36788,312971,102180,154440,415800,2927930,104490,59,1552983,12,148669,35,316737,68,1478469,609886,0.3261910874355518,9529.46875,120,1769033,90,645694,219,1408595,249,2531934,1139077,0.3584676998062706,17524.26153846154
