,uid,night_start_phonelock_count_sum,night_start_phonelock_span_sum,night_end_phonelock_count_sum,night_end_phonelock_span_sum,day_start_phonelock_count_sum,day_start_phonelock_span_sum,day_end_phonelock_count_sum,day_end_phonelock_span_sum,night_lock_sum,night_lock_percent,average_night_lock_span_second
0,u00,65,967639,55,496708,161,1169825,168,1604166,705269,0.3299559665098453,10850.292307692309
1,u01,73,993101,78,981226,143,2091456,138,2103331,1248692,0.404820530144199,19820.507936507936
2,u02,55,881141,36,222206,101,731916,120,1390851,358153,0.2220336913078707,5510.046153846154
3,u03,38,736766,33,444264,64,777938,68,1060619,520743,0.3437919223821948,9468.054545454546
4,u04,91,1665209,75,932267,150,1828460,166,2561402,1288502,0.3688105541767122,23008.964285714286
5,u05,60,1134913,61,755500,120,1269445,119,1648858,947800,0.3942008635985157,15044.444444444443
6,u07,49,838020,49,657457,104,1529819,101,1636702,843100,0.3560630600306862,17938.297872340427
7,u08,84,625348,63,365729,192,1731754,213,1991373,499573,0.211943734297455,8057.629032258064
8,u09,89,1638074,86,957355,130,1603946,132,2262197,1227106,0.3785004410830285,19173.53125
9,u10,89,1400818,88,753672,212,1592030,212,2216508,987533,0.3299643015615895,15192.815384615384
10,u12,120,1769033,90,645694,219,1408595,249,2531934,1139077,0.3584676998062706,17524.26153846154
11,u13,75,1011646,59,433616,122,985410,138,1563440,535046,0.2679173743750801,8629.774193548386
12,u14,75,993143,73,650212,142,1457902,140,1760694,865682,0.353188945939385,13740.984126984127
13,u15,20,395192,19,256757,38,494684,36,598965,367650,0.4131474497570448,5835.714285714285
14,u16,76,1193765,79,687098,166,1384996,162,1887106,919774,0.3566728362961903,14599.587301587302
15,u17,65,988239,73,867440,164,2017668,156,2138467,1059214,0.3523775020318326,16295.6
16,u18,54,886384,49,553655,110,1143444,115,1476173,722704,0.35604198976465,11656.516129032258
17,u19,103,1684443,73,521603,151,1203657,181,2366497,798804,0.2765846057961982,12289.292307692309
18,u20,41,451162,47,480762,69,925877,63,896277,561857,0.4080182188013556,10404.75925925926
19,u22,82,1048439,87,820911,130,1461983,125,1689511,935620,0.3726943119523331,14394.153846153846
20,u23,80,1307632,36,346219,134,916505,178,1877918,1183099,0.5319362071670944,21126.76785714286
21,u24,47,552378,42,416165,79,846203,83,959056,500193,0.3576432112262357,16673.1
22,u25,30,433379,38,400539,74,815451,65,843428,471354,0.3774364805457909,7602.483870967741
23,u27,40,428732,50,380908,107,1193797,97,1241621,429139,0.2644877225615074,6705.296875
24,u30,78,1357735,72,790923,158,1809992,164,2376804,1099343,0.3470447421763302,16912.96923076923
25,u31,64,508219,39,282678,144,1114912,169,1340453,432771,0.2666272777736362,6762.046875
26,u32,77,1281725,83,938978,151,1631345,144,1951124,1105494,0.3794944851994631,17007.6
27,u33,71,600011,67,425194,115,1321054,119,1495871,509519,0.2652273608649369,8218.048387096775
28,u34,8,138429,13,180471,32,383109,23,234517,230860,0.442652309131837,3847.6666666666665
29,u35,29,387424,44,579747,75,920685,57,681247,626667,0.4790632890684186,9791.671875
30,u36,121,1399319,113,735564,212,1825747,220,2489502,901916,0.2796581527323782,14092.4375
31,u39,4,29476,2,38913,9,108853,4,23893,100444,0.7261239508707502,3720.148148148148
32,u41,25,358785,29,308071,43,610056,39,660770,335867,0.3466688548482155,5506.016393442623
33,u42,30,314386,32,330875,68,870705,66,854216,459530,0.3877592522430766,9378.163265306122
34,u43,59,1042434,49,404244,103,959348,112,1580860,559009,0.279255683186281,9638.086206896553
35,u44,71,1097644,74,639381,154,1430860,151,1889123,839192,0.3318926922797037,14223.593220338984
36,u45,68,695588,71,555315,116,1167609,113,1307882,679605,0.3647520900903125,11922.894736842103
37,u46,48,408590,37,199733,116,1125478,127,1334335,261161,0.1702408237444494,5022.326923076923
38,u47,31,235280,41,395874,54,742314,36,441288,414043,0.4235326730728707,6678.112903225807
39,u49,75,760772,62,470091,204,1531332,217,1822013,713338,0.311215372426382,11322.825396825398
40,u50,37,395634,47,520645,64,781862,54,656851,618402,0.5251839496694681,9662.53125
41,u51,116,1773142,124,1306344,200,2109697,192,2576495,1520247,0.3915297543884771,23388.415384615382
42,u52,112,1301672,109,802270,204,1648204,207,2147606,1098989,0.3725543039775231,17444.26984126984
43,u53,67,796032,64,670177,174,2111849,177,2237704,964816,0.331793494988275,14843.323076923078
44,u54,55,555556,44,300063,110,883631,121,1139124,440626,0.3061631323796004,6994.063492063492
45,u56,43,656412,52,595133,94,1161221,85,1222500,701168,0.3857588413062482,10787.2
46,u57,90,705002,70,403785,202,1831601,222,2132818,576596,0.227310304371634,8870.707692307693
47,u58,98,1511686,95,945757,168,1689822,170,2242826,1160881,0.3626044351599309,18426.68253968254
48,u59,40,511749,32,220151,105,1006124,103,1106306,288035,0.1897622528366997,4431.307692307692
